TERMINAL	Jan	Fev	Mar	Abr	Mai	Jun	Jul	Ago	Set	Out	Nov	Dez	TOTAL
A.Araguaia	6	-	-	-	-	-	47.1	63.8	36.8	44.5	39.1	32.2	269.5
Araguari	-	-	-	-	-	-	14.6	41.4	78.3	98.6	129.5	116.4	478.8
Cacequi	-	-	8.3	8.4	-	-	-	-	-	-	-	-	16.7
C.Comprida	-	-	-	-	-	-	-	-	-	-	-	-	0
Cascavel	-	-	7.5	8	-	7.9	28.4	25.2	29.4	34.7	24.1	-	165.2
Chapadão Sul	1.4	-	-	-	-	-	113.5	108.2	117.1	45.4	36.1	40.5	462.2
Cruz Alta	-	-	46.1	33.9	-	-	-	-	-	-	-	-	80
Itiquira	101.3	36.9	-	140.7	49	86.1	30.8	-	-	-	-	-	444.8
J.Castilhos	-	-	-	-	-	-	-	-	-	-	-	-	0
Londrina	13.9	-	-	2.4	9.7	0.1	4	60.2	64.2	40	53.9	37	285.4
Marialva	30.5	-	-	-	10	-	139.1	192.2	178.1	118.8	202.1	166.6	1037.4
Maringá	25.5	-	2.9	99	33.3	30.4	204.8	353.7	355.1	368.8	292.2	193.4	1959.1
Palmeirante	-	-	-	-	-	129.3	358	394.9	356.2	388.2	259.5	152.9	2039
Pederneiras	-	-	-	-	-	-	13.4	108.1	84.1	73.5	92.1	57.6	428.8
Pirapora	-	-	-	-	-	-	-	-	-	-	-	-	0
P.Franco	-	-	-	-	-	-	109.3	129.1	142.5	163.1	148.8	144.8	837.6
P.Nacional	-	-	-	-	-	45.5	167.7	153.6	231	232.3	93.9	130.6	1054.6
Rio Verde	82.7	0.5	-	-	-	-	397.6	513.7	471.4	359.6	288.1	215.7	2329.3
Rolandia	19.1	-	-	-	-	-	2.4	60.1	21	28.9	13.6	9.1	154.2
Rondonopolis	444.8	5.5	-	-	-	419.3	1227.4	1046.1	1079.9	1562.9	1180	1327.6	8293.5
São Simão	47	3.3	-	-	-	48.9	123.2	109.1	78.9	31.7	32.8	93.7	568.6
Uberaba	12.3	-	-	-	-	-	121.1	143.6	118.7	93.6	107.7	274.1	871.1
TOTAL	784.5	46.2	64.8	292.4	102	767.5	3102.4	3503	3442.7	3684.6	2993.5	2992.2	21775.8
